,title,content
453,SAP工程师,熟悉SAP
454,测试软件工程师,精通C#
455,iOS开发工程师,精通Objective-C编程语言/熟悉Java编程语言/熟悉Socket网络编程/熟悉TCP/精通IO/熟悉Js/熟练掌握常用的第三方库/熟悉IO/熟悉IO/熟练使用
456,Java开发工程师,了解各类互联网系统架构/熟练运用/了解MYSQL数据库的设计与开发技术/了解Linux操作系统/精通Java编程语言
457,算法工程师,精通编程语言/熟悉算法
458,软件工程师,熟悉消息队列/了解主流前端技术特点与规范/了解软件开发流程/了解AWS
459,PHP开发工程师,精通PHP+MYSQL项目开发流程/熟悉PHP主流框架/精通一种主流框架及底层逻辑/熟悉MySQL数据库/熟悉jQuery
460,工业机器人集成项目工程师,精通至少一种品牌工业视觉与机器人应用/精通至少一种品牌工业机器人应用/熟练使用EPLAN绘制电气图纸/熟练使用
461,BSW软件工程师,熟悉C语言/熟悉CAN/熟练使用C
462,前端开发工程师,熟练掌握React框架/精通JavaScript/熟练掌握/熟悉ES6语法/了解webpack/熟练使用Git等版本控制工具/了解搜索引擎优化
463,需求分析师,精通Office
464,linux工程师,熟悉服务器/了解服务器/熟练使用c/熟练使用Linux/熟悉GIT/熟悉项目管理
465,MES开发工程师,熟悉C/熟悉.net/熟悉SQL
466,算法工程师,熟悉OpenGL/熟悉QT
467,语音算法工程师,熟悉c/熟悉matlab
468,Web前端开发工程师,熟悉Javascript/熟练掌握jQuery/熟悉AJAX/熟悉Vue/熟悉svn/熟悉Node.js/熟悉组件化和前后端分离的开发方式/熟悉Web性能优化
469,系统架构师,精通Java语言/熟悉Spring/熟练使用Oracle/精通面向对象分析和设计技术/熟悉微服务架构/熟悉大数据
470,WebGIS开发工程师,了解GIS相关地理知识/了解开源GIS组建
471,视觉工程师,精通C/精通C#
472,交通大数据分析师,熟练掌握SQL/熟悉ORACLE/熟练掌握/熟悉UML建模语言/熟练掌握大数据可视化开发技术
473,系统架构师,熟悉多线程
474,爬虫工程师,熟悉网页抓取原理及技术/精通正则表达式/熟练掌握数据库开发
475,PHP开发工程师,精通PHP/熟悉Linux/熟练应用服务器配置/熟悉相关Web开发技术/熟悉HTML/熟练运用memcache等缓存计术/熟悉MYSQL/精通MYSQL数据库的优化技术/熟悉主流开源框架
476,Android开发工程师,熟悉主流框架/熟悉Kotlin语言
477,数据开发工程师,熟悉大数据/熟悉oracle数据库
478,数据工程师,了解并熟练使用/熟练掌握ETL工具/掌握数据关系模型设计和编写/掌握至少一门开发语言/熟悉敏捷软件开发
479,数控电气工程师,精通西门子等PLC程序编程
480,软件工程师,精通C/熟练使用
481,PHP开发工程师,精通PHP/熟练使用thinkphp/熟练使用/熟练使用MySQL/熟悉XML/熟悉linux常用操作/熟悉apache/熟悉大型网站性能优化
482,暖通系统工程师,了解除湿机工作原理及相关控制逻辑
483,分布式数据库研发工程师,精通C++/熟悉Linux环境/熟悉分布式架构/熟悉Redis
484,运维开发工程师,精通Docker技术/了解微服务架构设计和设计方法的/熟练使用grepawksed等工具/熟悉TCP
485,运维工程师,熟悉思科/掌握TCP
486,软件工程师,精通C语言/熟悉CAN总线
487,软件工程师,熟悉C++/熟悉网络通讯/熟悉软件开发流程/熟练使用C++/熟练掌握Oracle
488,跨境电商ERP开发工程师,精通C#开发/熟悉js/熟悉ERP
489,架构师,熟悉分布式/熟悉各种设计模式/熟悉web开发的相关技术/熟悉SQL/精通Mysql/熟练使用OO分析设计方法和设计模式
490,大数据开发工程师,熟练运用
491,Java开发师,精通java/熟悉Spring/熟练使用eclipse/熟悉MSSQL/熟悉Linux/熟练使用SVN/熟悉常用的网络协议/熟练使用Linux/熟练使用dubbo
492,软件开发工程师,精通C++编程语言
493,项目服务工程师,熟悉TCP
494,GIS开发工程师,熟练使用MySQL
495,Python开发工程师,熟悉MySql/掌握基本的优化方法/熟悉缓存服务
496,.net开发工程师,精通.NET平台和C#语言/精通.NET平台下的MVC架构/掌握.NET企业级编程技术/了解消息队列/熟悉C#/熟悉SQL/熟悉编写SQL语句/了解SQL性能调优
497,内容分析工程师,熟练掌握
498,自然语言处理工程师,熟悉Linux操作系统/熟悉系统
499,WEBGL开发工程师,熟悉JQuery/熟悉mysql
500,Java开发工程师,熟悉Web前端技术/熟练使用JQuery/熟悉常用设计模式/熟练掌握MYSQL数据库/熟练编写SQL脚本/熟练掌握一种或以上存储中间件/熟悉Spring/掌握Hadoop/熟练使用/熟悉大数据
501,Web研发工程师,熟悉HTML5/熟悉W3C标准及规范/掌握JQuery/熟悉常用数据结构和算法/熟悉主流移动浏览器的技术特点/熟练掌握移动端H/了解行业热门技术特点
502,算法工程师,熟练使用Halcon算法库/掌握计算机视觉算法
503,软件工程师,熟练使用C语言/熟悉ST/熟悉串口
504,ERP开发工程师,熟悉Oracle/精通Oracle/精通Oracle/熟悉分销/熟悉制造行业/熟练编写开发
505,.NET开发工程师,精通C#语言/熟练使用.NET/熟练掌握Html
506,仿真工程师,熟练使用
507,智能云架构师,掌握基本的产品特性
508,数据仓库工程师,精通数据库基本原理/精通SQL语言/熟练使用/熟悉sqlserver/精通掌握数据库存储过程等技术/熟悉Hadoop
509,Java开发工程师,掌握HTML/熟悉jquery/熟悉Spring/熟悉一种/熟悉sql语言/熟练使用/了解Http
510,iOS开发工程师,熟悉Swift/熟悉Git/掌握Web前端开发知识基础/熟悉React
511,软件开发工程师,精通.Net/熟练掌握XML/精通SQL
512,数据挖掘工程师,精通NLP相关领域知识/精通常用数据挖掘算法/精通Java
513,算法工程师,精通Java/熟悉面向对象的编程/熟悉常用设计模式
514,软件工程师,掌握C/掌握USB/掌握通讯控件在上位机中软件中的使用
515,JAVA开发工程师,精通Java语言和面向对象设计方法/熟练使用相关工具/了解多线程/了解Linux系统
516,算法工程师,了解Perl
517,后端开发工程师,熟悉ORACLE/熟练掌握sql优化/了解NOSQL技术/熟悉Maven/熟悉ORACLE/熟练掌握sql优化/了解NOSQL技术
518,ETL开发工程师,精通Oracle数据库/熟练使用SQL/精通Linux/熟悉一种编程语言
519,后端开发工程师,精通PHP/熟悉http协议/掌握webservice/熟悉Mysql/熟悉Memcached/熟悉Javascript/熟练掌握/熟悉Linux/熟悉LNMP开发环境
520,上位机软件研发工程师,精通C语言
521,delphi工程师,熟悉Windows编程/熟悉TCP
522,应用开发工程师,精通C/熟悉Linux/熟悉QT编程
523,算法工程师,掌握数学仿真工具对通信系统进行仿真/熟练使用
524,Java架构师,精通OO/精通SpringMVC/熟悉分布式系统的设计和应用/熟悉分布式/熟悉Linux系统/掌握shell
525,视觉软件工程师,熟悉C#/熟悉面向对象编程/熟悉串口
526,html5移动开发工程师,熟练运用
527,架构师,熟悉JAVA/熟练掌握Spring/掌握常用框架设计/熟悉金融业务
528,Web前端开发工程师,熟练掌握HTML
529,软件开发工程师,熟悉J2EE系统架构/熟练运用java语言/熟悉常用的java框架/熟悉Spring/熟悉Mysql/熟悉前端开发技术
530,安全研发架构师,熟悉大数据
531,软件工程师,掌握主流WPF开发框架/熟悉C/熟悉WCF/掌握5.具有较强的学习能力和主动性
532,开发工程师,熟练掌握ASP.NET/熟练掌握C#语言/熟悉html/熟练掌握SQL
533,结构设计工程师,精通产品结构设计/熟练使用CREO
534,嵌入式软件工程师,熟练掌握C语言/熟悉UART/熟悉TI
535,BI报表工程师,熟练使用/熟悉一种/精通SQL/熟悉mysql等主流数据库/掌握常用的报表前端展现工具
536,JAVA全栈工程师,熟悉常用的数据结构和算法/熟悉面向对象思想/熟悉常用的设计模式/熟练掌握/熟悉多线程编程
537,前端开发工程师,熟练使用HTML5/熟悉Javascript/熟悉Vue
538,系统架构师,熟练使用UML工具
539,前端开发工程师,熟练掌握Javascript/熟悉TCP/熟练应用/熟悉C
540,Web前端开发工程师,熟练使用/熟悉JS
541,后台开发工程师,精通Web后台开发语言至少一种
542,IT系统工程师,熟练掌握系统运维脚本语言/精通VM等主流虚拟化技术/熟悉数据库/熟悉存储系统
543,算法工程师,掌握网络/熟悉自然语言处理/掌握Tensorflow
544,Java开发工程师,熟悉面向对象编程/熟悉J2EE/熟悉数据库原理/掌握Oracle/熟悉SQL语句
545,Java后台开发工程师,熟练使用spring/熟悉分布式/熟练掌握/熟悉redis/熟悉mysql/了解消息队列
546,软件工程师,熟练掌握C/精通汽车行业软硬件开发/熟悉CAN
547,Java开发工程师,熟悉JAVA语言/了解并熟悉单元测试/熟悉常用的缓存/熟悉基本的JavaScript/熟练掌握SQL及存储过程编写
548,软件工程师,熟悉labview/熟悉labview/熟练应用/熟练使用/熟悉常用仪器/掌握多门软件编程语言
549,WMS开发工程师,熟悉C#语言/熟练掌握SQL/熟悉C
550,医疗大数据规划师,熟练运用EXCEL
551,Java开发工程师,熟悉Spring/熟悉关系型数据库/熟悉RabbitMQ/掌握一到两种中间件
552,Java开发工程师,掌握数据结构/掌握常用的设计模式/熟练使用springMVC/熟悉redis/熟悉mysql/熟悉SQL语句/熟悉高可用性/熟悉缓存/熟练使用Eclipse和tomcat/熟悉接口/熟悉HTML
553,android开发工程师,熟悉JAVA语言/掌握JSON
554,lua开发工程师,熟悉c/掌握Cocos2d-x引擎核心模块/熟悉cocos
555,计算机视觉算法工程师,熟练掌握C/熟悉OpenCV
556,Java开发工程师,熟练使用springboot/掌握mysql数据库及复杂查询
557,分布式云存储研发工程师,精通Linux/熟悉常用算法和数据结构/熟悉mongodb/熟悉Linux系统
558,软件工程师,熟练运用/熟悉MSTRA方案
559,前端开发工程师,精通HTML/熟悉页面架构和布局/熟悉W3C标准/了解至少一种后台语言/熟练使用Photoshop
560,Android开发工程师,熟悉Android框架及各种特性
561,嵌入式软件工程师,精通各种通信协议
562,UI设计师,了解最新的设计风格/精通PS/熟练使用AE制作动效
563,QT软件开发工程师,精通C++内存分配模式/精通QT框架/精通QT的UI自定义开发/掌握代码重构的技能/熟悉SVN/精通网络通讯与多线程技术/熟悉sql
564,图像算法工程师,精通C
565,软件工程师,了解软件开发的生命周期/了解高校信息化行业
566,后端开发工程师,掌握常用数据结构/熟悉面向对象的编程/熟悉redis/熟悉mongodb
567,嵌入式软件工程师,了解操作系统原理/精通Socket网络编程
568,电机驱动算法工程师,精通电机PID控制/精通永磁同步电机的硬件结构
569,PHP开发工程师,熟悉MVC/精通TP/熟悉Javascript/熟悉Linux/了解常见开源框架和缓存技术
570,嵌入软件工程师,熟悉嵌入式开发/精通C
571,ERP系统工程师,熟悉业务
572,智能化系统工程师,熟悉各种通信协议/熟悉Linux/精通分布式系统设计原理/熟悉常用的设计模式/了解软件设计法则
573,软件开发工程师,了解qt内部运行机制/熟悉c/熟悉Windows平台/熟悉windows编程
574,Java开发工程师,熟悉J2EE/熟悉SpringMvc/熟悉spring/熟练掌握java及面向对象设计开发/熟悉JAVA/精通一种数据库应用/精通Mysql/熟悉Web开发
575,Java开发工程师,掌握J2EE框架及开发技术/熟练掌握jQuery/熟练掌握/熟练掌握WebService/熟练使用/熟悉至少一种主流数据库/熟练掌握/了解软件开发流程
576,前端研发工程师,熟悉Vue/熟悉W3C标准/掌握并实践
577,软件接口开发工程师,了解HTTP协议以及浏览器原理
578,电机算法软件工程师,精通TMS/熟悉Matlab
579,数据库工程师,熟悉主流数据库/熟悉ETL开发/了解微软的数据仓库工具体系/熟悉SQL语言
580,API开发工程师,熟练掌握C#
581,Linux开发工程师,熟悉LINUX操作系统/熟悉TCPIP协议/熟悉LINUX开发环境
582,.NET开发工程师,熟练掌握C#/熟悉SQL
583,数据分析师,熟练使用/熟练使用SQL
584,软件工程师,精通C/熟悉数据库/掌握PC应用程序开发流程
585,iOS开发工程师,熟悉swift/熟悉xml
586,音视频算法工程师,熟悉数字信号处理/精通C/精通python
587,算法工程师,熟悉机器学习/熟悉一门编程语言
588,python开发工程师,熟悉安卓/精通数据库开发/熟悉常用的数据结构及算法
589,Web前端开发工程师,熟悉React/熟练运用HTML/熟悉HTML5/熟练掌握/熟悉HTTP协议/熟悉Web/熟悉W3C标准
590,Java资深开发工程师,了解到它的原理和机制/熟悉分布式系统的设计和应用/熟悉分布式/掌握多线程及高性能的设计与编码/掌握Linux
591,研发工程师,精通JAVA技术/掌握Spring/熟悉Web/熟悉WebService/熟悉linux服务器
592,Ruby软件工程师,熟练掌握互联网后端技术架构/熟悉常用的数据库/熟悉常用设计模式/熟悉前端技术/熟练使用
593,ASP.NET开发工程师,熟悉互联网和web应用的相关开发技术/熟练掌握angular/了解各个浏览器兼容性问题/熟练使用javascript/熟练SQL/熟悉SQL语法
594,嵌入式软件工程师,熟悉C语言
595,单片机软件工程师,熟悉软件开发流程
596,.net全栈工程师,熟练掌握/熟练使用/熟悉移动端
597,Java架构师,熟练掌握Springboot/熟练使用/熟练使用MySql及性能优化
598,需求分析师,熟练掌握产品设计工具
599,运动控制算法工程师,熟练掌握/掌握Matlab/熟悉ROS
600,系统架构师,掌握业界主流开发框架中间件技术/熟悉大数据/掌握业界主流数据库技术/掌握linux
601,PHP开发工程师,熟悉Ajax/精通div+css
602,Java开发工程师,熟悉OO/熟悉Java/熟练MySQL
603,上位机软件工程师,熟练使用C/熟练使用
604,嵌入式软件工程师,熟练应用C/熟悉TCP/熟悉各类网络通讯协议
605,Java开发工程师,熟悉Java/熟悉Spring/熟悉Web及前端技术
606,BI工程师,熟悉Oracle/了解Java/熟悉linux环境/熟悉linux
607,iOS开发工程师,掌握iOS常用的系统框架/精通Objective-C/掌握Objective-C/熟悉各种开源相关技术/熟悉移动端
608,嵌入式软件工程师,精通STM32单片机/熟悉ADC/精通C语言原理/熟悉单片机/熟悉一门
609,AI算法工程师,掌握TensorFlow/熟练掌握Python
610,嵌入式软件工程师,熟练应用C/熟悉TCPIP协议/熟悉各类网络通讯协议
611,PHP开发工程师,精通PHP+MySQL开发/熟悉面向对象编程/熟悉JavaScript
612,核心网软件开发工程师,精通Java开发/熟练掌握Spring/熟悉linux操作系统
613,Java开发工程师,熟练掌握Java语言/熟悉J2EE/掌握Java语言开发
614,UI设计师,熟练操作PS
615,软件开发工程师,熟练掌握/熟悉sqlserver/掌握一门
616,基础架构工程师,熟悉Office/精通Windows操作系统以及AD/熟悉服务器
617,大数据开发工程师,精通Java/了解数理统计
618,数据开发工程师,熟练掌握Oracle数据库开发/熟练掌握ETL加工过程/熟悉C/了解常规大数据平台组件功能/熟练掌握
619,Unity3d开发工程师,熟悉3D图形学/熟练使用/精通网络通信编程/熟练使用/熟悉Unity/熟悉lua
620,运维工程师,熟练运用基本的linux命令
621,安卓APP开发工程师,熟悉Android框架
622,机器视觉开发工程师,熟练使用C++/熟悉Windows平台
623,Android开发工程师,熟练掌握常用的设计模式/熟练掌握现有流行框架/熟悉Android/了解熟悉/熟悉Android
624,嵌入式软件工程师,熟悉软件开发流程/熟悉嵌入式系统/掌握嵌入式系统应用程序开发调试技术/熟悉Windows/熟练掌握C语言/熟悉QT/掌握linux下的socket编程/熟悉SQLite
625,Java初级开发工程师,了解银行内不同的技术领域和集成方法/了解业务
626,UI设计师,熟悉UI/了解界面实现原理/了解一些人机交互原则
627,Mac开发工程师,熟悉设计模式/精通Swift/熟悉QT跨平台开发
628,架构师,熟练公共模块的抽取/熟悉面向对象的分析方法和数据库设计/熟悉UML等分析工具/掌握其基本原理/熟悉MySQL
629,视觉软件工程师,熟练使用至少一种C++或C#编程语言/熟悉PC开发环境/熟悉常用的算法/熟悉机器视觉系统的选型
630,MES工程师,熟悉生产/熟练使用jquery/精通C#/熟练使用/熟练掌握WPF
631,JAVA软件开发工程师,精通JAVA/熟练操作linux操作系统/熟悉halcon
632,大数据开发工程师,精通Java/熟悉Spring/熟练使用Eclipse/了解爬虫技术的经验
633,ERP工程师,熟悉ERP业务流程和单据处理逻辑/熟悉ERP理论和实施方法/熟悉常用数据库
634,数据库工程师DBA,精通Oracle/熟悉oracle/熟悉数据库/精通SQL/熟练掌握shell编程
635,软件工程师,熟悉面向对象设计思想/熟悉C/熟悉Tomcat/熟悉sql语言/熟练HTML
636,系统工程师助理,熟练使用Matlab
637,系统架构师,精通Java
638,Java开发工程师,熟悉面向对象设计模式/掌握Spring/掌握Redis开发技术/熟悉Tomcat/掌握ORACLE/熟悉Web前端技术
639,Android软件工程师,掌握Android/精通AndroidSDK/熟悉常用第三方库的使用/了解Android系统框架和SDK/了解MVC/熟练应用于开发过程中/熟悉Android/熟练使用
640,前端工程师,熟练运用HTML/熟练运用
641,C#开发工程师,精通C#/熟悉winform/熟悉相关IDE的使用/了解html/熟悉TCP/熟悉多线程/熟悉Oracle/熟练进行基本的数据库设计/熟练使用SQL
642,上位机软件工程师,熟练掌握C
643,Android开发工程师,熟悉Android平台软件开发技术/了解Android开发/精通常用数据结构与算法/熟悉TCP/熟悉IOS开发
644,Java资深开发工程师,熟悉SNMP协议/熟练使用Eclipse等开发工具/熟练掌握MySQL/熟练掌握JAVA/熟悉HTML/熟悉分布式
645,软件实施工程师,熟悉Linux/熟悉svn/熟悉shell脚本编程
646,软件架构师,熟练编写各类技术文档/熟悉物联网相关技术/精通一种或多种架构的能力和经验
647,UI交互设计师,熟练使用/了解和认识/熟悉互联网产品/精通人机交互理论和原则
648,数字电源研发软件工程师,熟悉通讯协议/了解开关电源基本工作原理
649,嵌入式软件工程师,精通C语言/精通ARM/熟悉使用MATLAB
650,系统工程师,熟练使用Python/熟练使用Git/熟悉Linux
651,Python工程师,熟悉Python编程/熟悉Linux环境/熟练部署/熟悉MySQL/熟悉Jenkins/了解较多
652,Web前端开发工程师,熟悉JavaScript/熟悉Bootstrap/熟练使用es
653,PHP开发工程师,熟悉至少一种PHP开发框架/熟练掌握LAMP/精通关系数据库设计和sql语句的编写/熟悉微服务项目架构和开发模式/熟练使用git
654,运维工程师,精通网络基本知识/了解TCP/精通Linux/熟悉Linux性能调优/掌握shell/精通局域网基本技术/精通各种大型网络架构/熟悉OpenStack/了解高性能web环境/熟悉mysql
655,Web前端开发工程师,掌握html5/掌握es6开发
656,数据与网络爬虫工程师,精通Oracle/熟练掌握Java/熟练使用
657,Android开发工程师,精通Android开发/了解jni编程/熟悉网络编程/熟悉TCP/熟悉socket通信/精通Android界面开发
658,Android开发工程师,熟练掌握Java/熟悉Android开发/熟悉NDK
659,PHP开发工程师,熟练掌握主流PHP框架/熟悉Linux操作系统/熟悉常用数据库/掌握基本的前端技术/掌握其他编程语言
660,Java开发工程师,精通Java语言/掌握Servlet/熟练掌握HTML/熟练掌握SQL语言/熟悉NoSQL/熟练掌握Spring框架/熟练掌握Tomcat/熟悉Linux常用命令/熟悉软件开发流程
661,嵌入式Linux工程师,精通C语言
662,系统运维工程师,熟悉sql语句/熟悉数据库/熟悉tomcat
663,数据库工程师,精通数据库/熟悉Linux
664,软件开发工程师,了解LINUX
665,JAVA初级工程师,熟练掌握JAVA编程语言/了解其特点及相关的基本用法/熟练掌握JavaScript/熟悉MYSQL/掌握基本的SQL编写
666,算法工程师,熟悉Java/掌握AI基础概念/了解常用机器学习和深度学习算法
667,软件开发工程师,精通HTML/熟悉WebService/了解SQL或ORACLE等数据库
668,iOS开发工程师,精通Object-C/掌握IO/熟练掌握/掌握开发和调试技巧/熟悉多线程
669,.NET开发工程师,熟悉.NET开发平台/熟练主流前端框架等
670,Java工程师,精通java语言/熟练掌握Spring/熟悉MySQL等关系型数据库/了解Redis/了解的/熟悉Linux/熟练使用
671,嵌入式软件工程师,精通Qt开发/熟悉SPI/熟悉MySQL
672,软件工程师,熟悉Python编程语言
673,软件开发工程师,熟悉编程语言
674,系统方案工程师,熟练使用
675,3D打印机软件工程师,熟悉掌握
676,.NET软件工程师,熟悉C/熟悉MVC/掌握一种数据库的原理和使用/熟练掌握OPC/熟悉串口通讯/熟悉socket
677,ERP工程师,熟悉web
678,数据分析工程师,熟练掌握一种或以上数据库
679,算法工程师,精通图像处理/熟练使用C
680,自动化软件工程师,熟练运用C#/熟悉视觉软件开发/熟悉运动控制/精通PLC
681,雷达算法工程师,掌握数字信号处理的专业知识/熟练掌握C
682,软件测试工程师,熟悉测试流程/熟练掌握数据库知识/熟练掌握Java
683,Java开发工程师,精通Java主流开源框架/熟悉主流数据库/熟悉HTML5/熟悉Redis/熟悉docker
684,UI设计师,熟练运用PS/熟练运用/熟练运用/熟悉HTML语言/熟悉用户体验/了解广大用户心理需求
685,系统架构师,掌握UML/熟悉MySQL数据库/精通SQL编程/熟悉CMMI规范
686,安卓软件开发工程师,掌握新技术/熟悉Android系统体系结构/精通JAVA语言/熟悉Android/熟悉Android下的网络通信机制/熟悉Android平台UI设计/熟悉Android系统/熟悉Android系统
687,.NET开发工程师,熟练掌握.net开发相关工具/掌握常见设计模式/熟练掌握/熟练掌握领域驱动设计概念
688,SAP实施工程师,精通SAP
689,全栈工程师,熟悉HTML5/精通一种主流Javascript框架/熟练使用/熟悉MVC/熟练使用Ajax/熟悉系统性能优化/精通Mysql/熟练编写存储过程/熟悉数据库优化/精通Redis/熟悉基本网络设置/熟悉Web
690,视觉软件工程师,精通C++编程语言/熟悉相机/熟练掌握Oracle
691,系统架构师,掌握UML/熟悉MySQL数据库/精通SQL编程/熟悉CMMI规范
692,安卓软件开发工程师,掌握新技术/熟悉Android系统体系结构/精通JAVA语言/熟悉Android/熟悉Android下的网络通信机制/熟悉Android平台UI设计/熟悉Android系统/熟悉Android系统
693,.NET开发工程师,熟练掌握.net开发相关工具/掌握常见设计模式/熟练掌握/熟练掌握领域驱动设计概念
694,SAP实施工程师,精通SAP
695,全栈工程师,熟悉HTML5/精通一种主流Javascript框架/熟练使用/熟悉MVC/熟练使用Ajax/熟悉系统性能优化/精通Mysql/熟练编写存储过程/熟悉数据库优化/精通Redis/熟悉基本网络设置/熟悉Web
696,视觉软件工程师,精通C++编程语言/熟悉相机/熟练掌握Oracle
697,C#软件开发工程师,熟悉面向对象技术/精通C#开发语言/掌握SQL/熟悉html/熟悉使用C#
698,系统工程师,精通C
699,软件售后工程师,熟悉sql
700,大数据工程师,熟悉Linux/掌握基本命令/熟悉Hadoop/熟悉MySQL/熟悉存储过程/掌握Shell脚本编写/掌握两种及以上编程语言如Python/了解高并发实时访问开发及其架构构建
701,Docker容器工程师,熟练掌握linux基础命令
702,Android开发工程师,熟悉Android/熟悉Android/熟悉http/熟练掌握xml/熟悉TCP/熟悉面向对象的软件设计方法及设计模式/熟练阅读英文文档/了解软件工程概念和软件开发流程/掌握常规数据结构和算法
703,数据库工程师,掌握数据库技术/精通SQL语言/掌握oracle/了解多个数据库之间差异性/熟练掌握kettle工具/了解数据库应用/熟悉常用的数据库
704,Web前端开发工程师,精通Vue/精通前端开发技术
705,嵌入式软件工程师,熟悉KEIL/精通C语言/熟悉一种/熟悉硬件原理/精通I
706,数据分析师,熟练运用/熟练阅读
707,iOS开发工程师,熟悉IOS系统架构及相关技术/熟悉常用数据结构
708,数据库开发工程师,熟练使用Linux系统/熟练编写存储过程/熟悉Oracle/掌握Oracle数据库维护
709,图像处理软件工程师,熟悉数字图像处理/熟练应用
710,Web前端开发工程师,精通HTML5
711,PHP开发工程师,熟悉Web及前端技术/熟悉Nginx
712,JAVA开发工程师,熟练设计多线程软件/掌握常用线程同步技术/熟悉Java/熟悉IO/熟悉分布式/熟悉Springboot/熟悉RabbitMQ/熟练应用/熟悉Hadoop
713,Java开发工程师,熟练掌握Java语言/熟悉J2EE/掌握Java语言开发/熟悉MySQL
714,云台算法工程师,熟悉卡尔曼kalman滤波/精通C程序设计/熟悉常用外部设备接口/熟悉硬件调试基本工具
715,前端开发工程师,熟练使用
716,iOS开发工程师,精通Objective-C
717,Java开发工程师,熟悉Spring/熟悉常用的设计模式/熟悉MySQL/熟悉linux操作系统/熟悉tomcat
718,PHP开发工程师,精通PHP+MYSQL编程/熟练使用Thinkphp/熟练应用HTML/熟练使用Linux/熟练常见的缓存技术/熟悉高并发/了解或使用过诸如Java
719,项目交付工程师,熟练掌握Linux/熟悉Java中间件/熟悉C++编程或Java编程
720,C#软件开发工程师,精通C#语法和功能/熟悉Windows/熟悉Windows/熟练使用.net相关开发工具/掌握c#语言/熟悉SQL/熟悉单元测试步骤和方法
721,Android开发工程师,精通java语言/熟练掌握java开发技术/熟练使用数据库/熟悉Android系统/熟悉Android框架/熟悉Android/熟悉Android开发/了解androidSDK特性/精通java语言/熟练掌握java开发技术/熟练使用数据库/熟悉Android系统/熟悉Android框架/熟悉Android/熟悉Android开发/了解androidSDK特性
722,PHP开发工程师,熟练使用编程语言/熟练PHP
723,系统开发工程师,精通多线程/熟悉JVM/熟练掌握/熟悉oracle
724,图像处理软件工程师,了解C#/了解机器视觉
725,软件工程师,精通C语言/熟悉TCP/熟悉LINUX操作系统
726,Java开发工程师,熟悉HTML/熟练使用C/熟练使用Java/了解缓存技术
727,嵌入式软件工程师,精通C/熟悉Linux驱动开发/熟悉Python
728,PHP开发工程师,精通PHP+MYSQL网站编程/熟悉PHP/熟练掌握MySQL相关技术/掌握相关Web前端开发技术/熟悉JavaScript/熟悉memcache/熟悉Linux系统操作/熟悉shell编程/熟悉常用数据结构与算法/掌握对数据的分析统计方法及运用
729,系统工程师,熟练进行各类软件产品的设计文档的编写/熟练使用Struts2/熟练掌握Oracle
730,嵌入式软件工程师,熟悉公司产品/精通C/熟悉底层/熟悉嵌入式操作系统/熟练掌握
731,单片机开发工程师,精通C语言/熟悉常用的Zigbee芯片的开发/精通单片机开发/熟悉STM8/熟悉各种LED调光算法
732,视觉软件工程师,熟练掌握C++编程语言/熟练掌握
733,MES工程师,掌握工厂MES系统开发与维护经验/掌握管理知识技能
734,Web前端开发工程师,熟悉微信小程序开发/熟练掌握HTML5/熟练掌握JQuery框架/熟练使用Javascript/熟悉多线程开发
735,初级架构师,了解软件行业基础架构和技术体系/熟练掌握Office相关软件
736,UI设计师,熟练使用PS
737,前端开发工程师,熟练使用es/熟练掌握/熟练掌握/熟练掌握/熟练使用
738,Web前端开发工程师,精通Javascript/精通bootstrap/精通W3C标准/熟悉ECS
739,嵌入式软件工程师,熟练应用C/熟悉TCP/熟悉各类网络通讯协议
740,Android开发工程师,熟悉常用的数据结构/了解Android内存管理机制/熟悉网络编程/熟悉微信公众号开发
741,UI设计师,了解交互设计/精通版式设计
742,测试开发工程师,掌握Java
743,UI设计师,熟练使用Adobe/掌握体验设计的技能和方法
744,微信小程序开发工程师,熟练使用小程序相关API/熟悉微信/熟悉HTML5/熟练使用JQuery/熟悉HTML5特性/了解HTML5最新规范/熟练运用HTML
745,Java开发工程师,精通Java编程/熟练掌握常用的J/熟练掌握MySQL/熟练掌握HTML/熟悉面向对象/掌握面向对象的开发方法/熟练运用设计模式
746,Java开发工程师,熟练使用Spring/精通MySQL/熟悉Linux系统
747,大数据开发工程师,精通java语言/了解相关技术和框架/精通Hadoop/熟悉大数据/熟练掌握SQL/了解数理统计/熟悉人工智能/熟悉shell
748,系统构架师,精通ASP.NET/精通关系型数据库/熟悉数据库设计
749,APP开发工程师,熟练掌握/掌握常见的前端框架/熟练使用/了解常用的设计模式
750,web后端开发工程师,熟练使用至少一门开发语言/熟练使用mysql/熟悉nginx/熟练使用git/熟悉linux基本操作
751,资深PHP开发工程师,熟练掌握/精通面向对象设计与编程/掌握其他一门语言/熟练掌握/熟练掌握/熟练掌握Oracle/掌握常用的负载均衡技术/熟悉微服务架构/熟练掌握前端网页技术
752,数据库工程师,精通MySQL数据库原理/精通MySQL高可用架构/熟悉Linux系统/熟练使用Shell
753,软件工程师,了解客户技术信息/熟练者/掌握相关工作技能
754,系统集成工程师,掌握一定领域范围内的专业知识/熟练应用办公软件
755,软件工程师,熟悉软件开发规范/熟悉.Net/精通C/熟悉开发/熟悉软件设计
756,UI设计师,熟练使用/熟练使用原型工具
757,UI设计师,了解用户及需求场景/精通Photoshop
758,智能图像算法工程师,熟练应用
759,运维工程师,精通计算机/熟悉Docker
